"","Suburb","%2015-2016","%2006-2016","Growth PA","year","price","type"
"1","ABBOTSFORD","28","165","10.2","2006","445500","house"
"2","ABERFELDIE","8","117","8.0","2006","600000","house"
"3","AIREYS INLET","4","61","4.9","2006","440000","house"
"4","AIRPORT WEST","16","130","8.7","2006","320000","house"
"5","ALBANVALE","27","108","7.6","2006","210000","house"
"6","ALBERT PARK","4","129","8.6","2006","775000","house"
"7","ALBION","22","150","9.6","2006","235000","house"
"8","ALEXANDRA","-4","45","3.8","2006","190000","house"
"9","ALFREDTON","11","24","2.1","2006","307500","house"
"10","ALLANSFORD","6","15","1.4","2006","240000","house"
"11","ALPHINGTON","21","128","8.6","2006","687500","house"
"12","ALTONA","14","123","8.3","2006","370000","house"
"13","ALTONA EAST","19","152","9.7","2006","310000","house"
"14","ALTONA MEADOWS","13","94","6.9","2006","255000","house"
"15","ALTONA NORTH","12","149","9.6","2006","290000","house"
"16","ANGLESEA","3","58","4.7","2006","415000","house"
"17","APOLLO BAY","13","37","3.2","2006","360000","house"
"18","ARARAT","-3","42","3.6","2006","144000","house"
"19","ARDEER","36","143","9.3","2006","214500","house"
"20","ARMADALE","8","156","9.8","2006","911000","house"
"21","ARMSTRONG CREEK","7","NA","NA","2006","NA","house"
"22","ASCOT (BENDIGO)","3","40","3.4","2006","263000","house"
"23","ASCOT VALE","14","110","7.7","2006","480000","house"
"24","ASHBURTON","9","160","10.0","2006","600000","house"
"25","ASHWOOD","7","183","11.0","2006","434000","house"
"26","ASPENDALE","9","116","8.0","2006","400000","house"
"27","ASPENDALE GARDENS","8","101","7.2","2006","386000","house"
"28","ATTWOOD","6","82","6.2","2006","359500","house"
"29","AVENEL","-1","28","2.5","2006","190000","house"
"30","AVOCA","-10","27","2.4","2006","130000","house"
"31","AVONDALE HEIGHTS","18","133","8.8","2006","330000","house"
"32","AVONSLEIGH","26","86","6.4","2006","270000","house"
"33","BACCHUS MARSH","6","60","4.8","2006","235000","house"
"34","BADGER CREEK","10","76","5.8","2006","215000","house"
"35","BAIRNSDALE","3","28","2.5","2006","200000","house"
"36","BALACLAVA","16","128","8.6","2006","540000","house"
"37","BALCOMBE","9","110","7.7","2006","453000","house"
"38","BALLAN","3","83","6.2","2006","202500","house"
"39","BALLARAT CENTRAL","10","69","5.4","2006","227500","house"
"40","BALLARAT EAST","7","69","5.4","2006","175000","house"
"41","BALLARAT NORTH","8","63","5.0","2006","208000","house"
"42","BALNARRING","13","138","9.1","2006","281500","house"
"43","BALNARRING BEACH","0","93","6.8","2006","460000","house"
"44","BALWYN","-2","155","9.8","2006","850000","house"
"45","BALWYN NORTH","-4","156","9.8","2006","698500","house"
"46","BANNOCKBURN","-2","29","2.6","2006","296000","house"
"47","BARANDUDA","8","31","2.7","2006","268000","house"
"48","BARNAWARTHA","-20","36","3.1","2006","180000","house"
"49","BARWON HEADS","9","100","7.2","2006","420000","house"
"50","BAXTER","19","94","6.9","2006","207500","house"
"51","BAYSWATER","8","140","9.2","2006","285000","house"
"52","BAYSWATER NORTH","10","121","8.3","2006","285000","house"
"53","BEACONSFIELD","6","65","5.1","2006","360000","house"
"54","BEACONSFIELD UPPER","9","95","6.9","2006","339500","house"
"55","BEAUFORT","16","88","6.5","2006","126000","house"
"56","BEAUMARIS","9","94","6.8","2006","750000","house"
"57","BEECHWORTH","7","31","2.7","2006","265000","house"
"58","BELGRAVE","13","94","6.8","2006","280000","house"
"59","BELGRAVE HEIGHTS","6","86","6.4","2006","336000","house"
"60","BELGRAVE SOUTH","2","59","4.8","2006","355000","house"
"61","BELL PARK","6","60","4.8","2006","226000","house"
"62","BELL POST HILL","4","54","4.4","2006","230000","house"
"63","BELLBRIDGE","16","22","2.0","2006","270000","house"
"64","BELLFIELD (GREATER MELBOURNE)","11","155","9.8","2006","305000","house"
"65","BELMONT","9","75","5.8","2006","245000","house"
"66","BENALLA","3","14","1.3","2006","202500","house"
"67","BENDIGO","7","74","5.7","2006","229000","house"
"68","BENTLEIGH","12","158","9.9","2006","535000","house"
"69","BENTLEIGH EAST","12","148","9.5","2006","449000","house"
"70","BERWICK","10","92","6.7","2006","308000","house"
"71","BEVERIDGE","7","0","NA","2006","NA","house"
"72","BIRCHIP","-55","-27","-3.1","2006","75000","house"
"73","BIRREGURRA","14","95","6.9","2006","176500","house"
